"Name","score","gender"
"Kedge Whiteye","0.011552453009332421","1"
"Tumco Lho","0.007797405925157008","1"
"Bhakaz zo Loraq","0.02968981135204376","1"
"Cayn","0.0028679396206790137","1"
"Hake","0.0030794788190035153","1"
"Erreck","0.0","1"
"Penny","0.00984269456598686","0"
"Pylos","0.001969987644102742","1"
"Wyl (guard)","0.0","1"
"Hubard Rambton","0.0","1"
"Aemon Estermont","0.001991060962145316","1"
"Ambrode","0.0017696732624378946","1"
"Lothar Frey","0.021130603184543094","1"
"Hod","0.0","1"
"Kyra","0.004463326630428299","0"
"Holger","0.0048509467677002125","1"
"Arneld","0.009054114234703089","1"
"Eddard Stark","0.008730493427913965","1"
"Sour Alyn","3.6038466755182843E-4","1"
"Joffrey Baratheon","0.0","1"
"Joseran","0.023169434749037963","1"
"Jeyne Westerling","0.0","0"
"Justin Massey","0.02702498034694608","1"
"Tristifer Botley","0.023355325022584965","1"
"Endehar","0.0","1"
"Lewis Lanster","0.07516577810972208","1"
"Obara Sand","0.0198267967548127","0"
"Donnel Haigh","0.04180358214114546","1"
"Jothos Slynt","0.013303188158884519","1"
"Boros Blount","0.011341520396002495","1"
"Alysane Mormont","0.016101944134367246","0"
"Dancy","0.0","0"
"Donnis","0.0","1"
"Dermot","0.02590506154603821","1"
"Emmond","0.045205250906083384","1"
"Petyr Frey","0.008520617803209191","1"
"Yohn Royce","0.008583360383842187","1"
"Sarra Frey","0.030998702209287937","0"
"Tuffleberry","0.06161308271643958","1"
"Falia Flowers","0.005805887612732073","0"
"Janos Slynt","0.013303188158884519","1"
"Willum","0.004403669170396472","1"
"Mirri Maz Duur","0.014928005450118041","0"
"Arson","0.0","1"
"Draqaz","0.0","1"
"Rolly Duckfield","0.0231389690584923","1"
"Roland Crakehall (Lord)","0.04180358214114546","1"
"Garin (Orphan)","0.09553866801322637","1"
"Hother Umber","0.0","1"
"Greydon Goodbrother","0.04877254998661771","1"
"Myranda Royce","0.004351067990564242","0"
"Burton Crakehall","0.14968539608117795","1"
"Dickon Manwoody","0.03457217731619852","1"
"Shireen Baratheon","0.03598135265795577","0"
"Tormund","8.652945861826094E-4","1"
"Daven Lannister","0.02590506154603821","1"
"Mace Tyrell","0.008316230845180258","1"
"Quent","0.007876672506363015","1"
"Grubbs","0.020301296627035326","1"
"Grazdan mo Ullhor","0.026025463748929348","1"
"Owen","0.0715506767029621","1"
"Joss Stilwood","0.027245257028103504","1"
"Meha","0.0","0"
"Mikken","0.001133460881082782","1"
"Small Paul","0.05888035167435944","1"
"Aenys Frey","0.03368679690558103","0"
"Lambert Turnberry","0.0","1"
"Urswyck","9.505282228561662E-4","1"
"Monford Velaryon","0.03184389950044819","1"
"Weeper","0.03922751039505566","1"
"Galbart Glover","0.025753483593410332","1"
"Myles","0.0","1"
"Ben Bones","0.006329098508937309","1"
"Umar","0.001496608542012217","1"
"Asha Greyjoy","0.0","0"
"Renly Baratheon","0.025542440874379138","1"
"Richard Horpe","0.043198723051564414","1"
"Young Henly","0.005783152222065423","1"
"Mya Stone","0.0","0"
"Esgred","0.09673553025618356","1"
"Eon Hunter","0.022809982628179678","1"
"Reznak mo Reznak","0.017913311431565784","1"
"Symon Stripeback","0.045619965256359356","1"
"Raynald Westerling","0.004379768077835031","1"
"Jorah Mormont","0.013666710829236513","1"
"Cohollo","0.002808503685534487","1"
"Bessa (Winterfell)","0.020053392226195663","0"
"Romny Weaver","0.13415751881805393","1"
"Brown Bernarr","0.0","1"
"Goghor","5.250766184419094E-4","1"
"Dareon","0.0036110720391436925","1"
"Nan","0.0","0"
"Jodge","0.023169434749037963","1"
"Bryan Fossoway","0.03199140833353594","1"
"Rhogoro","0.0","1"
"Wendel Manderly","0.0446381172914325","1"
"Alla Tyrell","0.0","0"
"Andrey Dalt","0.023378529203892537","1"
"Olenna Redwyne","0.0","0"
"Fornio","0.0","1"
"Rusty Flowers","0.0020851248865713804","1"
"Garlan Tyrell","0.04654060882227096","1"
"Qyburn","4.2085582690830976E-4","1"
"Gyles Grafton","0.027241592249080817","1"
"Malliard","0.0","1"
"Randyll Tarly","0.012363234357546448","1"
"Jeren","0.0","1"
"Shyra Errol","0.004463326630428299","0"
"Norjen","0.002911632195418224","1"
"Symond Templeton","0.0568993201365591","1"
"Mudge (miller)","0.0","1"
"Quaro","0.0","1"
"Red Rolfe","0.0","1"
"Dick Crabb","0.03922751039505566","1"
"Hallis Mollen","0.03497854411107614","1"
"Pate (Night's Watch)","0.026157435444478804","1"
"Jalabhar Xho","0.016587214778785032","1"
"Brandon Norrey","0.0","1"
"Denys Drumm","0.024644517413023637","1"
"Wylis Manderly","0.001682854863953171","1"
"Becca the Baker","0.004875967329691201","0"
"Walda Rivers (daughter of Aemon)","0.03973920771442223","0"
"Olyvar Frey","0.0427672560231937","1"
"Jacelyn Bywater","0.07991957982406687","0"
"Ronnel Harclay","0.0","1"
"Tallad","0.0011798264415794752","1"
"Ebben","0.04023594781085251","1"
"Tycho Nestoris","0.018747859667966906","1"
"Robb Stark","0.0071619728217181145","1"
"Arya Stark","0.013486129350616105","0"
"Bannen","0.011552453009332421","1"
"Irri","0.002391936054138584","0"
"Ryon Allyrion","0.04185346262555699","1"
"Ermesande Hayford","0.0","0"
"Pia","0.011961130532114155","0"
"Morra","0.0","0"
"Lennocks","0.0058840129193555805","1"
"Meryn Trant","0.011549806711232818","1"
"Kurz","0.104292457101441","1"
"Damon Dance-for-Me","0.058741286488130956","1"
"Endrew Tarth","0.026918337109124085","1"
"Ogo","0.005220580791092245","1"
"Dywen","0.04091519081293146","1"
"Grisel","0.008854532542663497","0"
"Styr","0.0010986398027824336","1"
"Shae","0.0011798264415794752","0"
"Grazdan","0.026025463748929348","1"
"Jack-Be-Lucky","0.03977025296810692","1"
"Patrek of King's Mountain","0.08067356306369503","1"
"Stalwart Shield","0.0","1"
"Margaery Tyrell","0.008828971160877351","0"
"Byam Flint","0.09648197532821565","1"
"Moreo Tumitis","0.005398613777134663","1"
"Tyrion Lannister","0.00984269456598686","1"
"Murenmure","0.010747279035913538","1"
"Tanton Fossoway","0.04092552070630716","1"
"Alliser Thorne","0.01823408369603493","1"
"Utt","0.013098092917076684","1"
"Haldon","0.011726174107217118","1"
"Robin Ryger","0.021811951297481064","1"
"Little Walder Frey","0.0404731011478256","1"
"Qarl Shepherd","0.042649081110106284","1"
"Cersei Frey","0.05888035167435944","0"
"Xhondo","0.0040215805173850145","1"
"Gerald Gower","0.039717087205650176","1"
"Preston Greenfield","0.07075722365411136","1"
"Kindly man","0.013486129350616105","1"
"Tytos Blackwood","0.07075722365411136","1"
"Whalen Frey","0.022004672398728418","1"
"Frenya","0.0","0"
"Mago","0.005220580791092245","1"
"Heward","0.05724985543156782","1"
"Elinor Tyrell","0.0","0"
"Albett","0.0014727758409301308","1"
"Arron Qorgyle","0.017657775024893584","1"
"Morna White Mask","0.0","0"
"Helman Tallhart","0.009254962118654977","1"
"Mero","0.00256675399520576","1"
"Osmund Kettleblack","0.028587816522961967","1"
"Qotho","0.003165007604348388","1"
"Meera Reed","0.01819658171793553","0"
"Nage","0.0","1"
"Drogo","5.12276700261483E-4","1"
"Unella","0.002771794825065206","1"
"Bowen Marsh","0.01956322889606302","1"
"Ghost of High Heart","3.450367494308117E-4","0"
"Lucan","0.0","1"
"Theomore Lannister","0.03482046001591248","1"
"Rorge","0.002798996692660525","1"
"Qyle","0.03465735902799726","1"
"Harma","0.0","0"
"Lymond Goodbrook","0.05182408826616413","1"
"Gevin Harlaw","0.03482046001591248","1"
"Jarl","0.03922751039505566","1"
"Othell Yarwyck","0.030852555917616733","1"
"Werlag","0.0","1"
"Harwood Fell","0.10002341887667497","1"
"Parmen Crane","0.03081073464492384","1"
"Sallor","0.07358913568313179","1"
"Lancel Lannister","0.017413563961668037","1"
"Left Hand Lew","0.09454620575305084","1"
"Yurkhaz zo Yunzak","0.00890334453119177","1"
"Gerren","0.0028961793436297453","1"
"Benedar Belmore","0.008520617803209191","1"
"Wayn (guard)","0.0","1"
"Oznak zo Pahl","0.02968981135204376","1"
"William Mooton","0.06611329216599007","1"
"Anguy","0.009721601963234579","1"
"Rolfe","0.0048509467677002125","1"
"Anvil Ryn","0.006874708822551447","1"
"Jonelle Cerwyn","0.010286006019107181","0"
"Raymun Darry","0.053319013889226566","1"
"Byron","0.020663720576260754","1"
